sale_id,customer_id,product_id,store_id,sale_date,quantity,unit_price,discount,payment_type
T001,C001,P001,S001,2024-03-01,1,20000,0.1,Card
T002,C002,P002,S002,2024-03-02,1,55000,0.05,UPI
T003,C003,P003,S003,2024-03-02,2,800,0.0,Cash
T004,C004,P004,S004,2024-03-03,1,2000,0.15,Card
T005,C005,P005,S001,2024-03-04,3,1500,0.1,UPI
T006,C006,P006,S002,2024-03-05,1,8000,0.2,Card
T007,C007,P007,S005,2024-03-05,1,25000,0.05,Card
T008,C008,P008,S004,2024-03-06,2,3000,0.1,UPI
T009,C009,P009,S003,2024-03-07,1,1800,0.0,Cash
T010,C010,P010,S002,2024-03-08,1,1200,0.05,Card
T010,C010,P010,S002,2024-03-08,1,1200,0.05,Card
T011,C001,P002,S001,2024-03-09,-1,55000,0.1,UPI
T012,C002,P003,S002,2024-03-09,2,-800,0.0,Cash
T013,C999,P004,S003,2024-03-10,1,2000,0.1,Card
T014,C003,P999,S003,2024-03-10,1,1500,0.1,UPI
T015,C004,P005,S004,2024-15-10,1,1500,0.1,Card
T016,C005,P006,S001,,1,8000,0.1,UPI
T017,C006,P007,S002,2024-03-11,1,25000,1.5,Card
T018,,P008,S004,2024-03-12,1,3000,0.1,Cash
